Medi-Cal UA and UB Modifier Maximum Allowable Reimbursement Rates for Surgical and Anesthesia Supplies and Drugs as of February 2016,,,,,,,,,,,
Procedure Code,,Outpatient,,,,Procedure Code,,Medical,,,UA - Medicaid level of care 10
From,Thru,UA,UB,,,From,Thru,UA,UB,,UB - Medicaid level of care 11
19210,19210,$20.00,$40.00,,,19210,19210,$25.00,$45.00,,
19220,19220,$60.00,$90.00,,,19220,19220,$65.00,$95.00,,
19240,19240,$35.00,$65.00,,,19240,19240,$40.00,$70.00,,
19260,19260,$35.00,$65.00,,,19260,19260,$40.00,$70.00,,
19271,19271,$40.00,$70.00,,,19271,19271,$45.00,$75.00,,
19272,19272,$50.00,$80.00,,,19272,19272,$55.00,$85.00,,
19281,19288,$20.00,$35.00,,,19281,19288,$25.00,$40.00,,
19290,19290,$12.00,$42.00,,,19290,19290,$17.00,$47.00,,
19291,19291,$12.00,$42.00,,,19291,19291,$17.00,$47.00,,
19295,19295,$20.00,$35.00,,,19295,19295,$25.00,$40.00,,
19296,19298,$15.00,$45.00,,,19296,19298,$20.00,$50.00,,
19300,19301,$40.00,$70.00,,,19300,19301,$45.00,$75.00,,
19302,19302,$50.00,$80.00,,,19302,19302,$55.00,$85.00,,
19303,19304,$40.00,$70.00,,,19303,19304,$45.00,$75.00,,
19305,19305,$35.00,$65.00,,,19305,19305,$40.00,$70.00,,
19306,19306,$60.00,$90.00,,,19306,19306,$65.00,$95.00,,
19307,19307,$35.00,$65.00,,,19307,19307,$40.00,$70.00,,
19316,19316,$50.00,$80.00,,,19316,19316,$55.00,$85.00,,
19318,19318,$50.00,$80.00,,,19318,19318,$55.00,$85.00,,
19324,19325,$45.00,$75.00,,,19324,19325,$50.00,$80.00,,
19328,19330,$45.00,$75.00,,,19328,19330,$50.00,$80.00,,
19340,19340,$35.00,$65.00,,,19340,19340,$40.00,$70.00,,
19341,19341,$35.00,$65.00,,,19341,19341,$40.00,$70.00,,
19342,19342,$35.00,$65.00,,,19342,19342,$40.00,$70.00,,
19350,19355,$45.00,$75.00,,,19350,19355,$50.00,$80.00,,
19357,19357,$60.00,$90.00,,,19357,19357,$65.00,$95.00,,
19360,19360,$60.00,$90.00,,,19360,19360,$65.00,$95.00,,
19361,19361,$60.00,$90.00,,,19361,19361,$65.00,$95.00,,
19364,19366,$50.00,$80.00,,,19364,19366,$55.00,$85.00,,
19367,19369,$60.00,$90.00,,,19367,19369,$65.00,$95.00,,
19370,19370,$35.00,$65.00,,,19370,19370,$40.00,$70.00,,
19371,19371,$40.00,$70.00,,,19371,19371,$45.00,$75.00,,
19380,19380,$45.00,$75.00,,,19380,19380,$50.00,$80.00,,
19396,19396,$45.00,$75.00,,,19396,19396,$45.00,$75.00,,
19499,19499,$45.00,$75.00,,,19499,19499,$50.00,$80.00,,
20000,20000,$12.00,$32.00,,,20000,20000,$17.00,$37.00,,
20005,20005,$16.00,$36.00,,,20005,20005,$21.00,$41.00,,
20100,20100,$14.00,$44.00,,,20100,20100,$19.00,$49.00,,
20101,20101,$14.00,$44.00,,,20101,20101,$19.00,$49.00,,
20102,20102,$14.00,$44.00,,,20102,20102,$19.00,$49.00,,
20103,20103,$14.00,$44.00,,,20103,20103,$19.00,$49.00,,
20150,20150,$30.00,$60.00,,,20150,20150,$35.00,$65.00,,
20200,20205,$16.00,$36.00,,,20200,20205,$21.00,$41.00,,
20206,20206,$15.00,$45.00,,,20206,20206,$20.00,$50.00,,
20220,20225,$13.00,$33.00,,,20220,20225,$18.00,$38.00,,
20240,20240,$15.00,$35.00,,,20240,20240,$20.00,$40.00,,
20245,20245,$18.00,$38.00,,,20245,20245,$23.00,$43.00,,
20250,20251,$25.00,$55.00,,,20250,20251,$30.00,$60.00,,
20500,20501,$10.00,$30.00,,,20500,20501,$15.00,$35.00,,
20520,20525,$18.00,$38.00,,,20520,20525,$23.00,$43.00,,
